meta_run_id,pair_id,agent_condition,seed,task_id,source_id,dataset_path,difficulty_index,difficulty_stratum,prompt_strictness_level,context_visibility_level,timeout_budget_level,start_ts,end_ts,total_time_sec,time_to_first_valid_plan_sec,iterations_count,d_efficiency,mean_power,predicted_gain,uncertainty_index,budget_used_ratio,invalid_assumptions_count,budget_violations_count,model_mismatch_flags,decision_reversal_count,output_completeness_score,format_compliance_score,impact_score,notes
meta_run_00039,PAIR_0030,Agent_Without,3030,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_only,long,2026-08-14T13:58:17.467545+00:00,2026-08-14T13:58:45.504529+00:00,0.0135,0.01,4,0.46726050122272733,0.6677463658595042,0.2690420048909093,0.29288954853986404,1.0,0,0,0,0,1.0,1.0,79.4722,real_data_meta_benchmark_run
meta_run_00040,PAIR_0030,Agent_With,3030,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_only,long,2026-08-14T13:58:17.470718+00:00,2026-08-14T13:58:45.765481+00:00,0.1155,0.0404,3,0.4498231999108463,0.7345210024454547,0.3690420048909093,0.24288954853986405,1.0,0,0,0,0,1.0,1.0,82.2142,real_data_meta_benchmark_run
meta_run_00041,PAIR_0037,Agent_Without,3037,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,medium,task_only,long,2026-08-14T13:58:17.474252+00:00,2026-08-14T13:58:46.030905+00:00,0.0178,0.01,4,0.5729846632193567,0.8599721149442848,0.6919386528774267,0.15957561930900774,1.0,0,0,0,0,1.0,1.0,86.946,real_data_meta_benchmark_run
meta_run_00042,PAIR_0037,Agent_With,3037,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,medium,task_only,long,2026-08-14T13:58:17.476469+00:00,2026-08-14T13:58:46.286338+00:00,0.1527,0.0535,3,0.4498231999108463,0.9459693264387133,0.7919386528774267,0.10957561930900774,1.0,0,0,0,0,1.0,1.0,88.9304,real_data_meta_benchmark_run
meta_run_00043,PAIR_0053,Agent_Without,3053,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_only,short,2026-08-14T13:58:17.480076+00:00,2026-08-14T13:58:46.559046+00:00,0.0296,0.0104,4,0.4826158261354661,0.6956651384281202,0.3304633045418645,0.2784091590540818,1.0,0,0,0,0,1.0,1.0,80.5148,real_data_meta_benchmark_run
meta_run_00044,PAIR_0053,Agent_With,3053,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_only,short,2026-08-14T13:58:17.483435+00:00,2026-08-14T13:58:46.848993+00:00,0.2226,0.0779,3,0.4498231999108463,0.7652316522709323,0.43046330454186454,0.2284091590540818,1.0,0,0,0,0,1.0,1.0,83.1446,real_data_meta_benchmark_run
meta_run_00045,PAIR_0038,Agent_Without,3038,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_plus_history,short,2026-08-14T13:58:17.486209+00:00,2026-08-14T13:58:47.142748+00:00,0.018,0.01,4,0.5540967535496973,0.8256304609994497,0.6163870141987895,0.19283361952566058,1.0,0,0,0,0,1.0,1.0,85.5282,real_data_meta_benchmark_run
meta_run_00046,PAIR_0038,Agent_With,3038,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_plus_history,short,2026-08-14T13:58:17.488878+00:00,2026-08-14T13:58:47.431358+00:00,0.1677,0.0587,3,0.4498231999108463,0.9081935070993947,0.7163870141987895,0.1428336195256606,1.0,0,0,0,0,1.0,1.0,87.6474,real_data_meta_benchmark_run
meta_run_00047,PAIR_0045,Agent_With,3045,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_plus_history,short,2026-08-14T13:58:17.491026+00:00,2026-08-14T13:58:47.697066+00:00,0.2668,0.0934,3,0.4498231999108463,0.7566923916257746,0.41338478325154937,0.23252603599703522,1.0,0,0,0,0,1.0,1.0,82.8834,real_data_meta_benchmark_run
meta_run_00048,PAIR_0045,Agent_Without,3045,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_plus_history,short,2026-08-14T13:58:17.493099+00:00,2026-08-14T13:58:48.009369+00:00,0.068,0.0238,4,0.4783461958128873,0.6879021742052496,0.31338478325154934,0.28252603599703524,1.0,0,0,0,0,1.0,1.0,80.2231,real_data_meta_benchmark_run
meta_run_00049,PAIR_0044,Agent_Without,3044,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_only,long,2026-08-14T13:58:17.496934+00:00,2026-08-14T13:58:48.264592+00:00,0.0607,0.0212,4,0.480916606778469,0.6925756486881254,0.323666427113876,0.2800564116535391,1.0,0,0,0,0,1.0,1.0,80.3983,real_data_meta_benchmark_run
meta_run_00050,PAIR_0044,Agent_With,3044,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_only,long,2026-08-14T13:58:17.500529+00:00,2026-08-14T13:58:48.518144+00:00,0.2218,0.0776,3,0.4498231999108463,0.761833213556938,0.42366642711387603,0.23005641165353913,1.0,0,0,0,0,1.0,1.0,83.041,real_data_meta_benchmark_run
meta_run_00051,PAIR_0063,Agent_Without,3063,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,medium,task_plus_history,short,2026-08-14T13:58:17.503622+00:00,2026-08-14T13:58:48.784056+00:00,0.0209,0.01,4,0.5607882601161014,0.8377968365747299,0.6431530404644059,0.18201302946451675,1.0,0,0,0,0,1.0,1.0,86.022,real_data_meta_benchmark_run
meta_run_00052,PAIR_0063,Agent_With,3063,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,medium,task_plus_history,short,2026-08-14T13:58:17.505902+00:00,2026-08-14T13:58:49.043933+00:00,0.1897,0.0664,3,0.44814664813736604,0.9215765202322029,0.7431530404644059,0.13201302946451673,1.0,0,0,0,0,1.0,1.0,88.0782,real_data_meta_benchmark_run
meta_run_00053,PAIR_0025,Agent_With,3025,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_only,short,2026-08-14T13:58:17.508212+00:00,2026-08-14T13:58:49.360906+00:00,0.2562,0.0897,3,0.44982319991084607,0.7604158956299929,0.42083179125998593,0.23073992303505644,1.0,0,0,0,0,1.0,1.0,82.9971,real_data_meta_benchmark_run
meta_run_00054,PAIR_0025,Agent_Without,3025,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_only,short,2026-08-14T13:58:17.511197+00:00,2026-08-14T13:58:49.640169+00:00,0.0567,0.0199,4,0.4802079478149964,0.691287177845448,0.3208317912599859,0.28073992303505646,1.0,0,0,0,0,1.0,1.0,80.3501,real_data_meta_benchmark_run
meta_run_00055,PAIR_0009,Agent_With,3009,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_only,long,2026-08-14T13:58:17.516204+00:00,2026-08-14T13:58:49.941623+00:00,0.1907,0.0667,3,0.4498231999108463,0.7419399733007034,0.3838799466014068,0.23947165301939954,1.0,0,0,0,0,1.0,1.0,82.4372,real_data_meta_benchmark_run
meta_run_00056,PAIR_0009,Agent_Without,3009,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_only,long,2026-08-14T13:58:17.518605+00:00,2026-08-14T13:58:50.288967+00:00,0.0259,0.01,4,0.47096998665035167,0.6744908848188212,0.28387994660140675,0.28947165301939953,1.0,0,0,0,0,1.0,1.0,79.7232,real_data_meta_benchmark_run
meta_run_00057,PAIR_0014,Agent_Without,3014,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_plus_history,short,2026-08-14T13:58:17.520944+00:00,2026-08-14T13:58:50.607082+00:00,0.0243,0.01,4,0.4726334698306541,0.6775153996920983,0.2905338793226164,0.28792298489622964,1.0,0,0,0,0,1.0,1.0,79.836,real_data_meta_benchmark_run
meta_run_00058,PAIR_0014,Agent_With,3014,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_plus_history,short,2026-08-14T13:58:17.522979+00:00,2026-08-14T13:58:50.965795+00:00,0.2602,0.0911,3,0.4518282606577591,0.7452669396613082,0.3905338793226164,0.23792298489622965,1.0,0,0,0,0,1.0,1.0,82.554,real_data_meta_benchmark_run
meta_run_00059,PAIR_0050,Agent_With,3050,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_plus_history,long,2026-08-14T13:58:17.525179+00:00,2026-08-14T13:58:51.264115+00:00,0.2465,0.0863,3,0.4498231999108463,0.7536754750953325,0.40735095019066503,0.23396320931323442,1.0,0,0,0,0,1.0,1.0,82.7921,real_data_meta_benchmark_run
meta_run_00060,PAIR_0050,Agent_Without,3050,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_plus_history,long,2026-08-14T13:58:17.527634+00:00,2026-08-14T13:58:51.565564+00:00,0.0171,0.01,4,0.47683773754766623,0.6851595228139385,0.307350950190665,0.28396320931323443,1.0,0,0,0,0,1.0,1.0,80.1216,real_data_meta_benchmark_run
meta_run_00061,PAIR_0062,Agent_With,3062,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_only,short,2026-08-14T13:58:17.531844+00:00,2026-08-14T13:58:51.875769+00:00,0.1845,0.0646,3,0.4481466481373658,0.928255321278241,0.756510642556482,0.12626663034297173,1.0,0,0,0,0,1.0,1.0,88.3039,real_data_meta_benchmark_run
meta_run_00062,PAIR_0062,Agent_Without,3062,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_only,short,2026-08-14T13:58:17.534975+00:00,2026-08-14T13:58:52.223961+00:00,0.0187,0.01,4,0.5641276606391205,0.8438684738893099,0.656510642556482,0.17626663034297174,1.0,0,0,0,0,1.0,1.0,86.2716,real_data_meta_benchmark_run
meta_run_00063,PAIR_0029,Agent_Without,3029,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,medium,task_plus_history,long,2026-08-14T13:58:17.537214+00:00,2026-08-14T13:58:52.587322+00:00,0.0222,0.01,4,0.4575570418659108,0.6501037124834741,0.23022816746364322,0.30161077360265903,1.0,0,0,0,0,1.0,1.0,78.8169,real_data_meta_benchmark_run
